Part of Speech,Latin Vocab Entry,English Definition,Chapter
Noun,"agricola, agricolae m.",farmer,1
Noun,"aqua, aquae f.",water,1
Noun,"femina, feminae f.",woman,1
Noun,"fortuna, fortunae f.","chance, luck, fortune",1
Noun,"nauta, nautae m.",sailor,1
Noun,"pecunia, pecuniae f.","money, property",1
Noun,"rosa, rosae f.",rose,1
Verb,"amo, amare, amavi, amatus",to love,1
Verb,"debeo, debere, debui, debitus","""ought to, should""; to owe ; to be obligated to",1
Verb,"habeo, habere, habui, habitus","to have, consider",1
Verb,"iaceo, iacere, iacui, iaciturus","to lie (e.g. on the ground), lie dead",1
Verb,"iuvo, iuvare, iuvi, iutus",to help; please,1
Verb,"laboro, laborare, laboravi, laboratus","to work, strive",1
Verb,"laudo, laudare, laudavi, laudatus",to praise,1
Verb,"moneo, monere, monui, monitus","to advise, warn, remind",1
Verb,"opto, optare, optavi, optatus","to choose, desire, wish for",1
Verb,"supero, superare, superavi, superatus","to overcome, conquer, surpass",1
Verb,"taceo, tacere, tacui, taciturus","to be silent (""I am silent"")",1
Verb,"terreo, terrere, terrui, territus","to terrify, scare",1
Verb,"timeo, timere, timui","to fear, be afraid (of)",1
Verb,"video, videre, vidi, visus",to see,1
Verb,"voco, vocare, vocavi, vocatus","to call, summon",1
Other,-ne,signals a yes-no question (no English translation),1
Noun,"ager, agri m.",(cultivated) field; countryside,2
Noun,"amicus, amici m.",friend,2
Noun,"animus, animi m.","mind, spirit, courage; soul",2
Noun,"bellum, belli n.",war,2
Noun,"casa, casae f.","house, hut",2
Noun,"consilium, consilii n.","plan, advice",2
Noun,"dominus, domini m.","master, lord",2
Noun,"donum, doni n.","gift, present",2
Noun,"locus, loci m. (in pl. sometimes also neuter)","place, position",2
Noun,"luna, lunae f.",moon,2
Noun,"natura, naturae f.",nature,2
Noun,"puer, pueri m.",boy,2
Noun,"puella, puellae f.",girl,2
Noun,"regnum, regni n.","kingdom, royal power",2
Noun,"vir, viri m.","man; occasionally ""husband""",2
Verb,"audeo, audere, ausus sum",to dare,2
Verb,"clamo, clamare, clamavi, clamatus",to shout,2
Verb,"dubito, dubitare, dubitavi, dubitatus","to hesitate, doubt",2
Verb,"rideo, ridere, risi, risus","to laugh, laugh at",2
Verb,"soleo, solere, solitus sum",to be accustomed,2
Coordinating Conjunction,et,and,2
Coordinating Conjunction,et … et,both … and,2
Coordinating Conjunction,-que,and,2
Coordinating Conjunction,sed,but,2
Noun,"arma, armorum n. (pl.)","arms, weapons",3
Noun,"caelum, caeli n.","sky, heavens",3
Noun,"cena, cenae f.",dinner,3
Noun,"dea, deae f. (dat. & abl. Plural = deabus)",goddess,3
Noun,"deus, dei m. (nom. Pl. = di; dat. & abl. Pl. = dis)",god,3
Noun,"fabula, fabulae f.",story,3
Noun,"filius, filii m. (voc. Sg. = fili)",son,3
Noun,"imperium, imperii n.","command, (military) power",3
Noun,"liber, libri m.",book,3
Noun,nemo m.; acc. Sg. = neminem,no one,3
Noun,"pontus, ponti m.","sea, ocean",3
Noun,"Romulus, Romuli m.",Romulus (legendary founder of Rome),3
Noun,"silva, silvae f.","forest, wood",3
Noun,"templum, templi n.","temple, shrine",3
Noun,"turba, turbae f.",crowd,3
Noun,"ventus, venti m.","wind, breeze",3
Verb,"aedifico, aedificare, aedificavi, aedificatus",to build,3
Verb,"do, dare, dedi, datus",to give,3
Verb,"impleo, implere, implevi, impletus",to fill up; complete,3
Verb,"monstro, monstrare, monstravi, monstratus","to show, demonstrate",3
Verb,"narro, narrare, narravi, narratus",to tell (a story),3
Verb,"paro, parare, paravi, paratus",to prepare,3
Verb,"porto, portare, portavi, portatus","to carry, bring",3
Verb,"pugno, pugnare, pugnavi, pugnatus",to fight,3
Noun,"factum, facti n.","deed, act, exploit, achievement",4
Noun,"oculus, oculi m.",eye,4
Noun,"saxum, saxi n.","rock, stone; cliff",4
Noun,"verbum, verbi n.",word,4
Noun,"via, viae f.",road; way,4
Verb,"ambulo, ambulare, ambulavi, ambulaturus",to walk,4
Verb,"erro, errare, erravi, erratus",to wander; err,4
Verb,"festino, festinare, festinavi, festinatus","to hurry, hasten",4
Verb,"navigo, navigare, navigavi, navigatus","to sail, sail over (across), navigate",4
Verb,"sedeo, sedere, sedi, sessurus",to sit,4
Adverb,facile,easily,4
Adverb,non,not,4
Adverb,saepe,often,4
Adverb,semper,always,4
Adverb,tandem,finally,4
Adverb,tum,"then, at that time; next",4
Preposition,"a, ab (+ abl.)",away from,4
Preposition,ad (+ acc.),"to, toward",4
Preposition,"e, ex (+ abl.)","out of, from",4
Preposition,in (+ abl.),"in, on",4
Preposition,in (+ acc.),"into, onto, against",4
Preposition,post (+ acc.),"after, behind",4
Preposition,pro (+ abl.),in front of; on behalf of; instead of,4
Preposition,trans (+ acc.),"across, beyond",4
Noun,"cura, curae f.","care, anxiety",5
Noun,"exemplum, exempli n.","example, model",5
Noun,"sapientia, sapientia f.",wisdom,5
Noun,"terra, terrae f.","land, earth, soil; country",5
Verb,"iacto, iactare, iactavi, iactatus",to throw,5
Verb,"sum, esse, fui, futurus","to be, exist",5
Adjective,"aeger, aegra, aegrum","sick, weak",5
Adjective,"altus, alta, altum","high, deep",5
Adjective,"bonus, bona, bonum",good,5
Adjective,"divinus, divina, divinum","divine, of the gods; prophetic",5
Adjective,"liber, libera, liberum",free,5
Adjective,"longus, longa, longum",long,5
Adjective,"magnus, magna, magnum","large, great; important",5
Adjective,"malus, mala, malum",bad,5
Adjective,"meus, mea, meum","my, mine",5
Adjective,"multus, multa, multum",much; many (pl.),5
Adjective,"noster, nostra, nostrum","our, ours",5
Adjective,"parvus, parva, parvum",small,5
Adjective,"primus, prima, primum",first,5
Adjective,"pulcher, pulchra, pulchrum","beautiful, handsome; fine",5
Adjective,"tuus, tua, tuum","your, yours, your own (sg.)",5
Adjective,"vester, vestra, vestrum","your, yours (pl.)",5
Preposition,cum (+ abl.),with,5
Preposition,sub (+ abl.),"under, beneath",5
Preposition,sub (+ acc.),"to the foot/base of, along under (implying movement)",5
Noun,"fama, famae f.","fame, report, reputation; rumor",6
Noun,"filia, filiae f. (dat. & abl. Plural = filiabus)",daughter,6
Noun,"ira, irae f.",anger,6
Noun,"Italia, Italiae f.",Italy,6
Noun,"populus, populi m.","the people, a people, nation",6
Noun,"regina, reginae f.",queen,6
Noun,"vita, vitae f.",life,6
Noun,"Romani, Romanorum m. (pl.)",the Romans,6
Verb,"doleo, dolere, dolui, doliturus","to grieve, mourn, suffer pain",6
Verb,"maneo, manere, mansi, mansurus","to remain, stay",6
Verb,"moveo, movere, movi, motus",to move; excite; affect,6
Verb,"nuntio, nuntiare, nuntiavi, nuntiatus","to announce, report",6
Verb,"oro, orare, oravi, oratus","to pray, beg, beg for (often with 2 accusatives)",6
Verb,"teneo, tenere, tenui, tentus","to hold, possess, keep; restrain",6
Adjective,"laetus, laeta, laetum",happy; fertile,6
Adjective,"miser, misera, miserum","miserable, unhappy",6
Adjective,"novus, nova, novum",new; strange,6
Adjective,"Romanus, Romana, Romanum",Roman,6
Adverb,de (+ abl.) ,"down from; about, concerning",6
Adverb,propter (+ acc.),"because of, on account of",6
Adverb,sine (+ abl.),without,6
Coordinating Conjunction,enim (never appears as the first word in a sentence),"for; in fact; yes, truly",6
Noun,"caput, capitis n.",head; summit,7
Noun,"civitas, civitatis f.",state; citizenship,7
Noun,"consul, consulis m.",consul,7
Noun,"corpus, corporis n.","body, corpse",7
Noun,"dux, ducis m.","(military) leader, commander",7
Noun,"frater, fratris m.",brother,7
Noun,"homo, hominis m.","human being, man",7
Noun,"ius, iuris n.","right, law; justice",7
Noun,"lex, legis f.",law,7
Noun,"libertas, libertatis f.","freedom, liberty",7
Noun,"lux, lucis f.",light,7
Noun,"mater, matris f.",mother,7
Noun,"nomen, nominis n.",name,7
Noun,"pater, patris m.",father; senator,7
Noun,"pax, pacis f.",peace,7
Noun,"rex, regis m.",king,7
Noun,"virtus, virtutis f.","courage, excellence, virtue",7
Pronoun,"ego, nos","I, we",7
Pronoun,"tu, vos","you, you (pl.)",7
Verb,"careo, carere, carui, cariturus (+ abl.)","to be without, free from; need, miss",7
Verb,"noceo, nocere, nocui, nociturus (+ dat.)","to harm, be harmful to",7
Verb,"pareo, parere, parui, pariturus (+ dat.)","to obey, be obedient to",7
Verb,"placeo, placere, placui, placiturus (+ dat.)","to please, be pleasing to",7
Verb,"possum, posse, potui","to be able, ""I can""",7
Noun,"moenia, moenium n. (pl.)",walls; fortifications,8
Noun,"littera, litterae f.","letter (of the alphabet); (pl.) letter, literature",8
Noun,nihil n. (indeclinable); nil (contracted form),nothing,8
Noun,"veritas, veritatis f.",truth,8
Verb,"ago, agere, egi, actus","to do, perform; drive",8
Verb,quid agis?,how are you (doing)?,8
Verb,"audio, audire, audivi, auditus","to hear, listen (to)",8
Verb,"capio, capere, cepi, captus","to take, seize, capture",8
Verb,"creo, creare, creavi, creatus","to create; elect, choose",8
Verb,"dico, dicere, dixi, dictus","to say, speak, tell",8
Verb,"doceo, docere, docui, doctus",to teach (often with 2 accusatives),8
Verb,"dormio, dormire, dormivi, dormiturus",to sleep,8
Verb,"duco, ducere, duxi, ductus",to lead,8
Verb,"facio, facere, feci, factus",to do; make,8
Verb,"iudico, iudicare, iudicavi, iudicatus",to judge; to decide,8
Verb,"lego, legere, legi, lectus","to read; choose, select",8
Verb,"mitto, mittere, misi, missus",to send,8
Verb,"rego, regere, rexi, rectus",to rule,8
Verb,"scribo, scribere, sripsi, scriptus",to write,8
Verb,"sentio, sentire, sensi, sensus","to feel, perceive",8
Verb,"valeo, valere, value, valiturus","to be well, health; to be strong",8
Verb,"vale, valete (imperative)","goodbye, farewell",8
Verb,"venio, venire, veni, venturus",to come,8
Adjective,"iratus, irata, iratum",angry,8
Adjective,"plenus, plena, plenum (+ gen. or abl.)","full (of), filled (with)",8
Pronoun,"is, ea, id","he, she, it, they; this, that",8
Noun,"carmen, carminis n.","song, poem",9
Noun,"coniunx, coniugis m. or f.",wife; husband; spouse,9
Noun,"lacrima, lacrimae f.",tear,9
Noun,"miles, militis m.",soldier,9
Noun,"patria, patriae f.","country, fatherland",9
Noun,"poeta, poetae m.",poet,9
Noun,"timor, timoris m.","fear, terror",9
